danceability_bin,energy_bin,valence_bin,acousticness_bin,tempo_bin,popularity
2,1,0,4,3,25.333333333333332
2,1,0,4,4,10.0
2,1,0,5,3,21.0
2,1,0,5,4,7.0
2,1,0,6,2,51.0
2,1,0,6,3,29.0
2,1,0,6,4,44.75
2,1,0,7,2,35.0
2,1,0,7,3,38.5
2,1,0,7,4,35.0
2,1,0,7,5,1.0
2,1,0,7,8,54.0
2,1,0,8,2,43.0
2,1,0,8,3,31.0
2,1,0,8,4,32.9
2,1,0,8,5,28.75
2,1,0,8,7,22.0
2,1,0,9,1,56.0
2,1,0,9,2,24.0
2,1,0,9,3,24.46
2,1,0,9,4,25.615384615384617
2,1,0,9,5,27.727272727272727
2,1,0,9,6,27.4
2,1,0,9,7,6.666666666666667
2,1,1,2,5,49.0
2,1,1,3,6,10.0
2,1,1,4,6,48.0
2,1,1,5,3,21.0
2,1,1,6,5,27.0
2,1,1,7,2,50.0
2,1,1,7,3,37.25
2,1,1,7,5,26.0
2,1,1,7,6,20.0
2,1,1,7,7,58.0
2,1,1,8,2,9.625
2,1,1,8,3,31.5
2,1,1,8,4,8.5
2,1,1,8,5,26.0
2,1,1,8,6,26.0
2,1,1,8,7,29.5
2,1,1,9,2,40.42857142857143
2,1,1,9,3,15.688524590163935
2,1,1,9,4,2.764705882352941
2,1,1,9,5,26.42105263157895
2,1,1,9,6,15.333333333333334
